week,PC1,PC2,PC3,PC4,PC5
2026-05-01,0.38821362717065466,0.06602972915664236,-0.10428264475936184,-0.1283711434170631,0.11750468293983211
2026-05-08,-0.004151053381877962,0.006302307932530206,-0.020839422705498812,0.014669471921780128,-0.010867545682210957
2026-05-15,0.0010914986379542179,0.0008224892448055886,0.002181084031291151,6.904628134350851e-05,-0.0010650574281064978
2026-05-22,0.0019915856610726325,0.002078100433195928,0.00015173557102871852,0.0026869295310261512,-0.0023819623844202435
2026-05-29,0.0018124446445312475,0.001975426390444618,0.00028539663190241016,0.0022930313039246893,-0.0022005285781086957
2026-06-05,0.001828958251220662,0.0019768853985129824,0.00027909605642353473,0.002342434535252785,-0.002223343508147553
2026-06-12,0.0018281219458832652,0.0019776933722038454,0.00027949485201829953,0.002337060968711753,-0.0022207620925563092
2026-06-19,0.001828115217592285,0.001977559391448992,0.0002794220580187768,0.002337598238589179,-0.0022210333554488456
2026-06-26,0.001828120689423103,0.001977572237249544,0.00027943606909762913,0.0023375453013541334,-0.00222100560800301
2026-07-03,0.0018281202659312789,0.001977571414401827,0.00027943399393977753,0.0023375507856043675,-0.0022210085041182892
2026-07-10,0.0018281202528649938,0.0019775714455618817,0.00027943424292301835,0.002337550175019317,-0.0022210081879544237
2026-07-17,0.0018281202604295648,0.001977571444969553,0.0002794342170529388,0.0023375502459492005,-0.002221008223747697
2026-07-24,0.0018281202592916272,0.0019775714451443307,0.00027943421955135475,0.0023375502377090433,-0.0022210082196531234
2026-07-31,0.001828120259407484,0.0019775714450888985,0.00027943421930769403,0.0023375502386434295,-0.0022210082201165565
2026-08-07,0.00182812025939829,0.0019775714450987183,0.0002794342193333673,0.0023375502385402976,-0.002221008220065041
2026-08-14,0.0018281202593989293,0.0019775714450974507,0.0002794342193304331,0.0023375502385514953,-0.0022210082200706874
2026-08-21,0.001828120259398878,0.0019775714450975847,0.00027943421933077946,0.002337550238550282,-0.0022210082200700716
2026-08-28,0.0018281202593988842,0.001977571445097572,0.0002794342193307391,0.0023375502385504145,-0.0022210082200701388
2026-09-04,0.0018281202593988832,0.0019775714450975734,0.0002794342193307437,0.0023375502385504,-0.0022210082200701314
2026-09-11,0.0018281202593988834,0.0019775714450975734,0.0002794342193307432,0.0023375502385504015,-0.0022210082200701323
2026-09-18,0.0018281202593988834,0.0019775714450975734,0.00027943421933074325,0.002337550238550401,-0.0022210082200701323
2026-09-25,0.0018281202593988834,0.0019775714450975734,0.00027943421933074325,0.002337550238550401,-0.0022210082200701323
2026-10-02,0.0018281202593988834,0.0019775714450975734,0.00027943421933074325,0.002337550238550401,-0.0022210082200701323
2026-10-09,0.0018281202593988834,0.0019775714450975734,0.00027943421933074325,0.002337550238550401,-0.0022210082200701323
2026-10-16,0.0018281202593988834,0.0019775714450975734,0.00027943421933074325,0.002337550238550401,-0.0022210082200701323
2026-10-23,0.0018281202593988834,0.0019775714450975734,0.00027943421933074325,0.002337550238550401,-0.0022210082200701323
