week,scope,PC1,PC2,PC3,PC4,PC5
2006-02-17,US,-0.8120106330813535,-0.06307190255010058,-0.004260781774755026,-0.052129296535923714,0.03833445013928194
2006-02-24,US,0.8410864511601425,-0.7304696412031577,-0.12011513530393422,-0.09645233124186549,0.1147658838731752
2006-03-03,US,1.8054815125306833,0.7431301316799156,0.11344193368512953,-0.09092916874052917,-0.009928384198970852
2006-03-10,US,1.1450500759607563,0.6633154665439864,-0.25217230862020557,-0.05426269740905678,-0.04894917041398657
2006-03-17,US,-1.4518994208239087,0.7313747119382512,0.40754303830124217,0.13742583661243565,0.02070598516380383
2006-03-24,US,0.2196613704024703,-0.7623839587519564,0.098747680903002,-0.07828687952250561,-0.006493394800453563
2006-03-31,US,3.3144297880662874,0.49687472415168943,0.0974921884695418,-0.0130105276550833,-0.006309235832777572
2006-04-07,US,2.0321444580148764,0.40022322742198024,0.3364301784523604,0.049849382698057644,0.01230382969976002
2006-04-14,US,1.4778966161358666,-0.09638774495620178,0.06293398010099117,0.026399168220180926,-0.045253436503373955
2006-04-21,US,-0.7251727461733142,0.3689942991656438,-0.0052510938154826355,-0.08251343622927416,0.07088237062603905
2006-04-28,US,0.6437622641840196,0.7347692527229961,-0.018421790370968937,0.10799316590088766,0.0778016846010974
2006-05-05,US,1.005420930520872,-0.3885544656603932,0.012863605525891303,0.004180335728385698,-0.03192513130885783
2006-05-12,US,1.5937635870944837,-0.0204455250531999,0.13607515791463232,-0.13831363828877624,-0.05924450013780426
2006-05-19,US,-2.4136290447688302,-0.595048074887775,0.03408412472940767,0.05935845664154402,0.07617495307483337
2006-05-26,US,0.16475074182300148,0.17126953807334877,0.11314768594164519,0.05449935236563248,-0.015870110431165985
2006-06-02,US,-1.044809516609659,-0.0882281163012181,-0.06212464512068377,-0.019198809431420313,-0.0051220670509995
2006-06-09,US,-0.10205273215547644,-1.3005707394513395,-0.061497100753887236,-0.021194667845222254,0.07951880559803762
2006-06-16,US,2.8313212667706673,-0.30234730267208787,0.23785524561073348,0.041935502842454765,0.019251342649795833
2006-06-23,US,1.9379272781558792,-0.32550867353178486,0.14467900269212564,0.006087535321078123,0.015554220254339987
2006-06-30,US,-1.770359980652208,0.40657753812044495,-0.13587666287288422,0.04320719823005273,0.1302842233155807
2006-07-07,US,-0.1161350237020186,-0.19417261427443167,0.023096779525586874,-0.022324679065607284,0.06147670861569233
2006-07-14,US,-1.4235693967582266,0.29352565791231056,-0.17884268385325872,0.016278025084229736,-0.05948718094479298
2006-07-21,US,-0.30627410998650734,-0.05476899762045903,0.150019585708283,0.0457779579536648,0.04512353365532388
2006-07-28,US,-1.1077644810492417,0.5817577832773616,-0.1685631050680311,-0.052069670940494146,0.03563668083573876
2006-08-04,US,-1.5078862424606954,0.0680288091742262,-0.031618343075097324,-0.08193391400624218,0.015192191662864937
2006-08-11,US,1.4039089173137436,0.16327297256638643,0.1634444213363265,-0.1342908498861003,-0.07803821226382247
2006-08-18,US,-2.324410136938913,-0.06011976808059321,-0.007254489133090775,0.02050994809524048,0.04193811056612004
2006-08-25,US,-0.6221752355971375,-0.22437325906299677,0.012535944216010984,-0.10554514958166997,-0.04054424998039047
2006-09-01,US,-1.3446796358086623,0.3432963984588249,-0.17346739817293283,0.0399075955537288,0.013740124914597848
2006-09-08,US,0.7834911128585341,0.07842401067181198,0.07835270372993634,0.059485053472753,0.0769420561578808
2006-09-15,US,0.5741542083442015,-0.58228954096988,0.060637626137676884,0.0036362150715424342,-0.03915882277641608
2006-09-22,US,-3.7487571502682995,0.455947369151328,-0.23808262745667258,-0.023276602516321458,-0.03880094757338198
2006-09-29,US,0.6610113675487616,-0.17264048036082855,0.015481324684488056,0.02264514002126152,0.09106150995603776
2006-10-06,US,1.1358488017891135,0.24480548654149317,0.06936938685027828,-0.012993460982965976,-0.08672397047964533
2006-10-13,US,2.2066524365896596,-0.4370392894981734,0.16685101436322758,-0.023698747255176525,0.009902825994065598
2006-10-20,US,-0.3489339072303169,-0.2193288280255448,-0.03476708382034136,0.010605808038898207,0.018020191425417467
2006-10-27,US,-2.163319407001529,0.17901773818488936,-0.1641427957577111,0.03734291324850609,0.007157857401982298
2006-11-03,US,0.7328639173597283,-0.4460141397958257,-0.055902378665177464,0.02893354907776589,-0.007154312945086928
2006-11-10,US,-2.284652007306071,-0.027816307696274644,0.0036476317120526245,0.028687221850360642,-0.026289224987928222
2006-11-17,US,0.34932272307088547,-0.24756743465844214,-0.047757824341767945,0.03194605665626414,-0.02562231309363002
2006-11-24,US,-0.9676742782658533,-0.12648330062401877,2.789839137158321e-05,0.005620106931777043,-0.07479197516363599
2006-12-01,US,-2.609531149226196,1.0917652238664621,-0.36199024414266484,-0.05659528929866513,0.027008067974519632
2006-12-08,US,2.5937410691021068,-0.5108105854993514,0.3048539753207933,0.042401663009794206,0.011691939204765684
2006-12-15,US,0.9349999422188808,-0.02663548010831192,0.21535557262975713,-0.038003699891357774,0.016283618238544354
2006-12-22,US,0.4402768812100405,0.3978039381247405,-0.10170770662352718,-0.05748486242681108,-0.014634353876015254
2006-12-29,US,1.5826486493178047,-0.6017293783155467,0.023943760300759714,0.0021781089740833945,-0.013782843137783246
2007-01-05,US,-1.1984342226846445,-0.019298708540202464,-0.2141667655472855,-0.02671860047401567,0.022208184452476666
2007-01-12,US,2.2914706566847056,-0.15973103472403966,0.27802551350277377,0.06057937220483551,-0.00033351807986631846
2007-01-19,US,0.3459922427361197,-0.36474631872421054,0.16404704305596268,0.01297916779892925,0.057940139543594976
2007-01-26,US,1.8334596614776932,0.2241478407931674,0.0841156797313599,-0.03377125404941906,-0.018356910276900517
2007-02-02,US,-0.9635387347382243,0.06440472933671076,-0.09709766126212202,-0.004033607814875107,0.0013204758129264308
2007-02-09,US,-0.7733227108486035,-0.17120961013306282,-0.05265041532530807,0.09814149408284444,-0.08945483961721441
2007-02-16,US,-1.7368532712616407,0.21186288552492524,-0.04288823390104505,-0.043970357674867656,-0.04738374963090548
2007-02-23,US,-0.14968027768562633,0.04537632053448838,0.018440329378654953,-0.03393325244681878,0.043799857070790475
2007-03-02,US,-3.4984282402044773,1.207596041117293,-0.48047553735624526,0.004100918733706628,-0.010145631000539264
2007-03-09,US,1.5083958062884502,-0.408800682865279,0.1798417548846512,-0.04503899587253079,0.05354533051311831
2007-03-16,US,-0.9122657686267786,0.5812619189197796,0.009420387730493142,0.06863593826392235,-0.02659271980591548
2007-03-23,US,1.295344301700966,0.47720717471721774,0.11167467920412454,-0.06570979522379877,0.00728303071977281
2007-03-30,US,0.44027688121004716,0.3978039381247319,-0.1017077066235269,-0.0574848624268138,-0.014634353876015726
2007-04-06,US,2.1984198941274355,-0.8636496316330341,0.27277015484529177,0.09439481152426996,0.05302274853234239
2007-04-13,US,0.15880301038099917,-0.03385083504757453,0.05151446189488488,-0.05554226126793694,-0.030078872743546852
2007-04-20,US,-1.807091318750546,0.46955522194297855,-0.21486411894230745,0.06868359730578485,0.019717231152350446
2007-04-27,US,0.5874042951320468,0.012707254204870176,0.14364228586588085,0.01754607685845761,0.04638011888512966
2007-05-04,US,-1.0171157841664047,-0.6515252881535739,0.008102643686549456,0.10203895387627561,-0.011110055963271992
2007-05-11,US,0.6641589070704548,0.0487650528389664,0.17814430943188014,-0.11322596172181955,-0.011393173917046778
2007-05-18,US,2.4430854892530163,-0.2728064518223835,-0.13080952186204212,-0.05234912947586796,0.06502876562716074
2007-05-25,US,0.9759919477683697,0.06429964021596735,-0.04475241486208239,-0.06647501704253671,-0.07116194412290672
2007-06-01,US,1.6974646851728505,-0.6886454674865341,-0.006372805693743227,0.02895188397183708,0.010336551271048405
2007-06-08,US,2.5800491972672743,0.6318864943249548,-0.25594359142536754,-0.03824794514376559,0.11723002668315613
2007-06-15,US,0.7796399858346539,-0.06814913832329869,0.07592472062241659,0.005058919602817019,-0.0016109319843199182
2007-06-22,US,-0.9009678900370175,1.0583191230480822,-0.25291606680075357,0.08298218160146799,-0.05316214557008045
2007-06-29,US,-2.021474681612365,-0.4411974208471805,-0.052329050130024826,0.09384334522708103,0.03962641537464497
2007-07-06,US,2.989934765884549,-0.04744403757551603,-0.005888821899174094,-0.15243796671138596,0.06071193062594211
2007-07-13,US,-1.5489989959973776,-0.14903070014299294,-0.0022586755549229786,0.11606217771887047,0.02629811018013237
2007-07-20,US,-2.741212168707608,0.4221907528313241,-0.10331992771762098,-0.05216596632406879,0.0033527217070089222
2007-07-27,US,-3.3394439079915177,1.2775743856526736,-0.023527117948415315,0.20042895599999178,-0.11605845810603381
2007-08-03,US,-1.619371797980969,0.2721237824109735,-0.2131066444783248,-0.08974080014666372,-0.09248965538319212
2007-08-10,US,1.9258453811258138,0.9580645396934436,0.16127406120379084,-0.15909779969573698,-0.057376024413002095
2007-08-17,US,-2.8161528202756108,2.2571220017126197,-0.06595926644626385,-0.03055135928988147,-0.03827485321841034
2007-08-24,US,-0.38852487501361155,-1.923029106770241,-0.14136472185820143,-0.10186242260963435,0.033087834776364206
2007-08-31,US,-2.067632121040502,0.9484606830423414,0.07038466493180974,0.1439952633483815,0.14924521798507634
2007-09-07,US,-3.459600297688019,1.2031655814205682,-0.34228284034759376,0.03423999942160982,0.03607713533285697
2007-09-14,US,1.7257272506236,-1.1633128774076642,-0.13525260240852652,0.02202995004635252,-0.0005325119725160494
2007-09-21,US,2.5886430938383795,1.006600994609625,-0.2900462225489323,-0.050143613622804784,-0.03545892341129063
2007-09-28,US,-1.304902233879299,0.35318271773642523,-0.20673126674024497,0.09747793395191516,0.04318520160624499
