week,US_2Y,US_5Y,US_10Y,US_20Y,US_30Y,EA_2Y,EA_5Y,EA_10Y,EA_20Y,EA_30Y,JP_2Y,JP_5Y,JP_10Y,JP_20Y,JP_30Y
2026-05-01,3.787761866525125,3.9299949805192256,4.319851978747816,4.888710645573219,4.9187617443342715,2.6376845594553284,2.927489385461476,3.493878627865829,4.033352320346903,4.037982365641856,1.3699005016559747,1.8507378171200553,2.449836357339007,3.321659496089945,3.6619197964781796
2026-05-08,3.7859661869633174,3.928137144668592,4.3184651283200814,4.887849735965229,4.918214520555979,2.6379361635816485,2.927549264741539,3.494126948200721,4.033826343504849,4.038330785845503,1.370696549674732,1.8514201929428633,2.4507825671515944,3.3234168759776437,3.663877775936007
2026-05-15,3.7852075971864814,3.927635417865506,4.318322498291051,4.888073013251363,4.918656484104797,2.637656307364407,2.9272839980518435,3.494086487451083,4.0339764198065815,4.038353573621136,1.3716397544761245,1.8521804161682345,2.4515980110561704,3.3246417118814606,3.665164638928664
2026-05-22,3.784353762659819,3.9270337448387282,4.31811419645611,4.88825736058245,4.919071159117341,2.637416257937201,2.9270515606251246,3.4940921345313836,4.034186394099369,4.038438588733458,1.3725628179823848,1.8529391667229353,2.4524507864570984,3.3259705483777244,3.6665759711609485
2026-05-29,3.7835084525778293,3.926438045751581,4.317906191684459,4.888438217441058,4.919481150809218,2.6371735571709722,2.926815904067171,3.494091561953761,4.0343878958003065,4.038514846417251,1.373490263073307,1.8537000847303018,2.453299740819883,3.327285897544434,3.667970815313567
2026-06-05,3.782662267025388,3.92584190515157,4.317698450818193,4.888619801519084,4.919891981763808,2.6369309996819568,2.92658049891054,3.4940916413757215,4.034590321371357,4.038592047278938,1.374416958467899,1.854460420264534,2.454148871073019,3.328602614770837,3.6693674177331848
2026-06-12,3.781816185675194,3.925245826024707,4.317490698543362,4.888801323976219,4.920302740393039,2.636688428530372,2.9263450728724276,3.494091659074547,4.034792657906437,4.03866915852561,1.3753437526545897,1.855220846795079,2.4549980097856015,3.329919211282049,3.6707638548399895
2026-06-19,3.780970091336875,3.9246497367833357,4.317282942962389,4.888982848205137,4.920713501921411,2.6364458597728073,2.9261096490752396,3.494091682559151,4.034995002725409,4.038746278020361,1.3762705359878187,1.8559812625929015,2.4558471459735762,3.3312358182542474,3.672160307065639
2026-06-26,3.7801239985613817,3.9240536489790725,4.3170751881831055,4.889164372726044,4.921124263610991,2.636203290621458,2.9258742249838736,3.4940917054528824,4.035197346721458,4.0388233966964835,1.377197320387616,1.8567416794534581,2.456696282422046,3.3325524241938327,3.673556757789482
2026-07-03,3.779277905608614,3.923457561001753,4.316867433296035,4.889345897192715,4.921535025262009,2.635960721522981,2.9256388009314063,3.4940917284139283,4.0353996908090055,4.03890051546437,1.3781241046857449,1.857502096217377,2.4575454188565082,3.3338690302545784,3.674953208682734
2026-07-10,3.778431812675018,3.922861473042854,4.316659678419877,4.889527421664327,4.921945786916128,2.635718152418494,2.925403376874199,3.494091751366899,4.035602034885644,4.038977634221221,1.3790508889941129,1.858262512990324,2.4583945552908015,3.335185636300076,3.6763496595555014
2026-07-17,3.777585719739391,3.922265385082119,4.31645192354279,4.889708946135697,4.922356548570213,2.635475583314619,2.9251679528175214,3.4940917743208266,4.035804378963584,4.039054752979395,1.3799776733013476,1.859022929762318,2.4592436917252143,3.336502242347438,3.6777461104307285
2026-07-24,3.776739626803981,3.9216692971215674,4.3162441686657775,4.889890470607063,4.922767310224272,2.635233014210684,2.9249325287607877,3.4940917972746455,4.036006723041374,4.039131871737417,1.3809044576087155,1.8597833465344247,2.4600928281596146,3.337818848394586,3.6791425613056727
2026-07-31,3.775893533868547,3.9210732091609963,4.316036413788758,4.890071995078431,4.923178071878336,2.634990445106755,2.92469710470406,3.4940918202284763,4.036209067119181,4.039208990495455,1.3818312419160679,1.8605437633065178,2.4609419645940154,3.3391354544417577,3.6805390121806485
2026-08-07,3.775047440933116,3.920477121200428,4.31582865891174,4.8902535195498,4.923588833532399,2.6347478760028253,2.9244616806473314,3.4940918431823054,4.036411411196986,4.039286109253491,1.3827580262234218,1.8613041800786123,2.461791101028416,3.3404520604889263,3.6819354630556203
2026-08-14,3.7742013479976846,3.9198810332398586,4.315620904034723,4.890435044021168,4.923999595186462,2.634505306898896,2.9242262565906034,3.4940918661361353,4.036613755274791,4.039363228011529,1.3836848105307757,1.8620645968507068,2.462640237462817,3.3417686665360957,3.683331913930593
2026-08-21,3.773355255062253,3.9192849452792897,4.315413149157704,4.890616568492536,4.924410356840525,2.6342627377949666,2.923990832533875,3.494091889089965,4.036816099352596,4.039440346769565,1.3846115948381297,1.8628250136228013,2.4634893738972172,3.3430852725832647,3.684728364805565
2026-08-28,3.7725091621268216,3.918688857318721,4.315205394280686,4.890798092963904,4.924821118494588,2.634020168691037,2.9237554084771467,3.4940919120437943,4.0370184434304015,4.039517465527602,1.3855383791454836,1.8635854303948958,2.464338510331618,3.3444018786304337,3.6861248156805377
2026-09-04,3.77166306919139,3.9180927693581515,4.314997639403668,4.890979617435272,4.925231880148651,2.6337775995871078,2.9235199844204183,3.494091934997624,4.037220787508207,4.039594584285639,1.3864651634528375,1.86434584716699,2.4651876467660188,3.3457184846776027,3.68752126655551
2026-09-11,3.770816976255959,3.9174966813975827,4.3147898845266495,4.8911611419066405,4.925642641802715,2.6335350304831784,2.92328456036369,3.4940919579514533,4.037423131586012,4.039671703043675,1.3873919477601915,1.8651062639390845,2.4660367832004195,3.347035090724772,3.6889177174304826
2026-09-18,3.7699708833205277,3.916900593437014,4.314582129649631,4.891342666378009,4.926053403456778,2.633292461379249,2.9230491363069615,3.494091980905283,4.037625475663817,4.039748821801712,1.3883187320675452,1.865866680711179,2.4668859196348203,3.348351696771941,3.690314168305455
2026-09-25,3.769124790385096,3.9163045054764445,4.314374374772613,4.891524190849378,4.926464165110841,2.6330498922753196,2.922813712250233,3.4940920038591123,4.037827819741622,4.039825940559749,1.3892455163748991,1.8666270974832735,2.467735056069221,3.34966830281911,3.6917106191804274
2026-10-02,3.7682786974496647,3.9157084175158756,4.314166619895595,4.891705715320746,4.926874926764904,2.6328073231713898,2.9225782881935047,3.494092026812942,4.038030163819427,4.039903059317785,1.390172300682253,1.867387514255368,2.468584192503622,3.350984908866279,3.6931070700553996
