week,US_2Y,US_5Y,US_10Y,US_20Y,US_30Y,EA_2Y,EA_5Y,EA_10Y,EA_20Y,EA_30Y,JP_2Y,JP_5Y,JP_10Y,JP_20Y,JP_30Y
2026-05-01,0.7761866525125194,0.9994980519225861,0.9851978747816208,0.8710645573219296,0.8761744334270956,0.8087317955328631,1.0700329261476318,1.1377758965829399,1.2206404746902955,1.3164226241855945,0.6900501655974745,0.8737817120055226,0.6836357339006947,0.36594960899448675,0.19197964781795102
2026-05-08,-0.17956795618073496,-0.18578358506334852,-0.13868504277339308,-0.08609096079897596,-0.05472237782922074,0.025160412631989412,0.005987928006271584,0.024832033489194383,0.04740231579459736,0.034842020364717105,0.07960480187573321,0.06823758228080393,0.09462098125871952,0.17573798876988314,0.19579794578273502
2026-05-15,-0.0758589776836247,-0.050172680308617434,-0.014263002903091503,0.02232772861337807,0.044196354881768644,-0.027985621724129363,-0.026526668969532947,-0.004046074963848242,0.015007630173243847,0.0022787775633443096,0.0943204801392363,0.07602232253710897,0.08154439045762571,0.12248359038169615,0.12868629926571193
2026-05-22,-0.0853834526662294,-0.06016730267779863,-0.020830183494136144,0.018434733108725378,0.041467501254483397,-0.024004942720620658,-0.02324374267189961,0.0005647080300920601,0.02099742927873712,0.008501511232170455,0.09230635062603523,0.07587505547009671,0.08527754009280027,0.13288364962639193,0.14113322322841554
2026-05-29,-0.08453100819899685,-0.05956990871473766,-0.020800477165079982,0.01808568586073229,0.04099916918762742,-0.024270076622866205,-0.02356565579538703,-5.725776229129119e-05,0.020150170093769352,0.007625768379314399,0.09274450909221726,0.07609180073663722,0.08489543627848146,0.13153491667094847,0.1394844152618525
2026-06-05,-0.08461855524408124,-0.059614060001097355,-0.020774086626617665,0.018158407802652415,0.04108309545897048,-0.024255748901566263,-0.023540515663054134,7.94219607689158e-06,0.02024255710502268,0.007720086168654383,0.0926695394591944,0.07603355342323255,0.0849130253135946,0.1316717226403024,0.13966024196179683
2026-06-12,-0.08460813501943173,-0.05960791268627263,-0.020775227483070886,0.018152245713493588,0.04107586292314998,-0.024257115158450113,-0.02354260381125166,1.769882545773322e-06,0.020233653508080134,0.007711124667196494,0.09267941866909182,0.07604265305449139,0.08491387125820414,0.13165965112120126,0.13964371068046968
2026-06-19,-0.08460943383192347,-0.059608924137121544,-0.020775558097366916,0.018152422891756455,0.04107615283723684,-0.02425687575648573,-0.023542379718807196,2.348460396788346e-06,0.020234481897134577,0.0077119494751702496,0.09267833332288732,0.07604157978226134,0.08491361879751698,0.13166069721980583,0.1396452225649342
2026-06-26,-0.08460927754930637,-0.059608780426332664,-0.02077547792829288,0.018152452090675578,0.04107616895797912,-0.02425691513492238,-0.023542409136591568,2.289373139072149e-06,0.02023439960489199,0.007711867612201757,0.09267843997972852,0.07604168605564686,0.08491364484699167,0.13166059395854077,0.13964507238431095
2026-07-03,-0.08460929527679041,-0.0596087977319605,-0.020775488707047977,0.018152446667173902,0.04107616510176396,-0.02425690984769207,-0.02354240524671903,2.296104605500795e-06,0.020234408754774474,0.00771187678864409,0.0926784298128798,0.07604167639187874,0.08491364344617122,0.13166060607455463,0.13964508932519817
2026-07-10,-0.08460929335960801,-0.05960879588989447,-0.020775487615763033,0.01815244716111365,0.04107616541194495,-0.024256910448724023,-0.023542405720729055,2.2952970682222663e-06,0.020234407663797742,0.007711875685147009,0.09267843083680173,0.07604167729471147,0.08491364342936533,0.13166060454978376,0.13964508727676378
2026-07-17,-0.08460929356267796,-0.059608796073490414,-0.020775487708773112,0.018152447137005225,0.041076165408522665,-0.024256910387509236,-0.023542405667779754,2.2953927677148134e-06,0.020234407794010215,0.007711875817370855,0.09267843072347147,0.07604167719940498,0.08491364344125592,0.1316606047362145,0.13964508752270172
2026-07-24,-0.08460929354101067,-0.05960879605515968,-0.020775487701183894,0.018152447136657618,0.04107616540592344,-0.024256910393489085,-0.023542405673358174,2.2953818744414966e-06,0.02023440777902691,0.007711875802161262,0.09267843073680179,0.07604167721067152,0.08491364344002265,0.13166060471480476,0.1396450874944332
