component,one_week_r2,one_week_rmse
PC1,0.009878739710747597,2.7413794522246335
PC2,0.010110814590670647,1.5478434319308239
PC3,0.021839902691117352,1.3096465213946042
PC4,0.015942841192584933,1.0848840179788282
PC5,0.007955556484366189,0.8986930962584256
